SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_5_covmodel_3.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0014,        0.0968,     0.3074847,    0.06149694,     0.3074847,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-19181.3333058145,      644.2706,      1952.288,      22.92974,     0.7557536,      19.46366,   0.001387131,     0.1114679,      0.320911,    0.07514581,     0.3115794,    0.03814828,    0.03898004,    0.00274796,
"        median",-19220.8750107918,      645.4825,       1954.35,       22.9357,      0.753569,      19.34915,    0.00136951,     0.1026375,      0.310113,     0.0721154,     0.3100995,     0.0376815,      0.037206,    0.00252558,
"            sd",       357.666,      26.26378,      44.64012,     0.3167737,    0.02881882,     0.8475452,  0.0006830351,    0.04614093,    0.05608482,    0.02875633,    0.02612917,    0.01283586,    0.01530819,  0.0007823368,
"           max",-17332.901844963875,       706.789,       2136.95,       23.7949,      0.974199,       26.3083,    0.00486872,      0.324574,        0.5717,      0.217975,       0.50808,      0.104098,      0.141595,    0.00723048,
"           min",-19783.762030214071,       546.526,       1754.31,       21.1543,      0.600109,       16.5682,  -0.000587057,    0.00147816,      0.200798,    -0.0255191,      0.257428,    0.00300796,   0.000579679,    0.00214517,
"      skewness",       2.48394,-0.714174217323083,-0.02787992167876,-0.670387881535476,      1.705596,       2.87557,       0.79267,      1.033211,      1.558689,     0.5531894,      2.487767,      1.017623,      2.189911,      3.792783,
"      kurtosis",      9.750852,      1.713385,      3.528298,        4.4978,      19.68699,      21.56016,      3.358256,      2.606477,        4.0428,      3.639349,      15.89962,      5.296331,      11.34973,      14.73172,
"          rmse",              ,      30.83944,      68.67878,     0.3173776,    0.02931682,     0.8855838,  0.0006814469,    0.04830618,      0.057533,    0.03176607,    0.02638345,    0.01284856,    0.01527177,  0.0008197755,
" relative_rmse",              ,      4.910739,      3.614673,      1.385928,      3.908909,      4.612415,      48.67478,      49.90308,      18.71085,      51.65472,       8.58041,      32.75963,      38.93803,      32.83199,
"          bias",              ,      16.27064,      52.28765,      0.029744,   0.005753615,     0.2636615, -1.286874e-05,    0.01466787,    0.01342633,    0.01364887,    0.00409465,-0.0010724334032813,-0.000240669608281302,  0.0002510803,
" relative_bias",              ,      2.590866,      2.751982,     0.1298865,     0.7671487,      1.373237,-0.919195714285713,      15.15276,      4.366502,      22.19438,       1.33166,-2.73435467399598,-0.613628842853323,      10.05576,
"relative_absolute_bias",              ,      2.590866,      2.751982,     0.1298865,     0.7671487,      1.373237,-0.919195714285713,      15.15276,      4.366502,      22.19438,       1.33166,-2.73435467399598,-0.613628842853323,      10.05576,
"           rse",              ,     0.2957213,     0.1661333,    0.09781345,     0.2717065,      0.312138,      3.449848,      3.370513,      1.289754,      3.306473,     0.6008792,      2.314165,      2.759901,      2.215548,
"standard error CI",
"          0.5%",              ,      1.827905,      2.323358,-0.122472238066201,    0.06614602,     0.5679209,-9.81980424856079,      6.456834,      1.038937,      13.66368,-0.218608554065741,-8.70490052771078,-7.73417320618766,      4.339646,
"          2.5%",              ,      2.011252,       2.42636,-0.061827899078624,      0.234604,     0.7614465,-7.68089832171949,      8.546552,      1.838584,       15.7137,     0.1539366,-7.27011819077156,-6.0230346382546,      5.713286,
"            5%",              ,      2.104405,      2.478692,-0.0310166623349359,     0.3201916,       0.85977,-6.59419611695335,      9.608264,      2.244857,      16.75524,     0.3432135,-6.54115619700406,-5.15366584970797,      6.411183,
"           95%",              ,      3.077328,      3.025271,     0.2907896,      1.214106,      1.886704,      4.755805,      20.69725,      6.488147,      27.63353,      2.320106,      1.072447,      3.926408,      13.70033,
"         97.5%",              ,       3.17048,      3.077603,     0.3216008,      1.299693,      1.985027,      5.842507,      21.75896,      6.894419,      28.67507,      2.509383,      1.801409,      4.795777,      14.39823,
"         99.5%",              ,      3.353827,      3.180606,     0.3822452,      1.468151,      2.178553,      7.981413,      23.84868,      7.694067,      30.72508,      2.881928,      3.236191,      6.506916,      15.77187,
