"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,91,91,1,1,1,1,1,0,0,0,0,0,0,0,3.1,3.52644,FOCE_I,NA,194.32,254.82,-16736.670553016775,654.07,1933.21,22.3075,0.745985,20.3572,0.000164999,0.0574075,0.0457413,0.029708,0.285914,0.011903,0.0388862,0.00968692,12.6353,41.0151,0.402591,0.0267896,0.466656,0.000485487,0.0245646,0.00679499,0.0091959,0.0165224,0.00620851,0.0167162,0.000301581,NA,NA,NA,NA,NA,0.462779,0.619502,0.690373,0.787357,0.852102,0.882196,0.93039,0.980401,1.11362,1.19813,1.39758,1.4536,1.63196
simulation,92,92,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.74813,FOCE_I,NA,302.36,274.89,-16391.586612181447,634.647,1827.4,23.4491,0.779529,19.4633,0.000823108,0.0927606,0.0316831,0.0354335,0.306464,0.0329595,0.0703286,0.0101166,11.5121,41.9615,0.445222,0.0317873,0.46557,0.000523465,0.0301783,0.00570199,0.00961304,0.0177258,0.0102109,0.0246265,0.000319781,NA,NA,NA,NA,NA,0.427198,0.552067,0.683693,0.748561,0.825143,0.874853,0.920841,0.980597,1.07209,1.22873,1.50891,1.57613,1.60119
simulation,93,93,1,1,1,1,1,0,0,0,0,0,0,0,3,3.76337,FOCE_I,NA,211.43,246.41,-16634.972687505015,626.322,1862.57,22.3772,0.754214,19.7013,0.000937055,0.0411321,0.0318482,0.0236097,0.303822,0.0182707,0.0151463,0.0103095,11.2661,39.7028,0.407781,0.0245466,0.470276,0.000573812,0.0268124,0.00525927,0.009364,0.0175352,0.0104437,0.0116834,0.000325085,NA,NA,NA,NA,NA,0.427093,0.616981,0.669699,0.754173,0.860618,0.872269,0.950155,0.98529,1.08796,1.28578,1.38206,1.50061,1.60731
simulation,94,94,1,1,1,1,1,0,0,0,0,0,0,0,3.6,3.80994,FOCE_I,NA,210.68,258.25,-16718.417085341531,642.842,1942.28,22.4883,0.727957,19.7867,0.000917389,0.0537008,0.0309545,0.032331,0.306453,0.0421127,0.0287527,0.0101072,11.744,47.3762,0.398381,0.0246203,0.4741,0.00058734,0.0263223,0.00503957,0.00836855,0.017676,0.011247,0.0137055,0.000319703,NA,NA,NA,NA,NA,0.415064,0.638864,0.687675,0.765273,0.816404,0.8943,0.923042,0.993572,1.07627,1.2391,1.45945,1.50961,1.58137
simulation,95,95,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.48259,FOCE_I,NA,232.8,275,-16486.958923119226,645.593,1913.19,22.7783,0.724399,18.9755,0.00207626,0.0346004,0.0346705,0.0205441,0.32554,0.0337448,0.0366794,0.00977334,12.0002,44.3061,0.404063,0.0260197,0.462347,0.00062812,0.0250541,0.00602484,0.00963637,0.0189155,0.0111123,0.015183,0.000310538,NA,NA,NA,NA,NA,0.460645,0.644428,0.681295,0.790515,0.839587,0.87617,0.895484,0.968909,1.12814,1.23099,1.38411,1.49549,1.60424
simulation,96,96,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.57509,FOCE_I,NA,276.83,278.67,-16723.036596635542,644.719,2024.78,23.3841,0.79636,20.003,0.00172689,0.0644482,0.0395225,0.0321952,0.278634,0.0689864,0.0546013,0.0102765,12.1927,53.7671,0.422574,0.0316253,0.457756,0.000541668,0.0279957,0.00607141,0.00929926,0.0162753,0.0163881,0.0175555,0.000328849,NA,NA,NA,NA,NA,0.443144,0.579015,0.672902,0.753071,0.83335,0.866242,0.948677,0.97835,1.04623,1.2465,1.48361,1.56463,1.58428
simulation,97,97,1,1,1,1,1,0,0,0,0,0,0,0,3.9,3.55847,FOCE_I,NA,208.16,254.99,-16657.788328458308,629.516,1944.03,22.9184,0.744424,19.5018,0.000611795,0.053322,0.0379794,0.0315789,0.316734,0.0245812,0.0464275,0.0100077,11.9038,43.4596,0.40518,0.0277802,0.472336,0.000541012,0.0274118,0.00619343,0.00971188,0.018306,0.00837083,0.0188458,0.000313861,NA,NA,NA,NA,NA,0.439127,0.606667,0.675753,0.7769,0.842415,0.852499,0.957224,1.0274,1.04456,1.24826,1.46092,1.50565,1.56262
simulation,98,98,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.16698,FOCE_I,NA,206.62,267.15,-16662.756397231358,623.24,1816.28,22.6352,0.749711,19.1737,0.00204068,0.0929584,0.0404494,0.016984,0.324125,0.0360059,0.0255013,0.0100766,12.0274,43.385,0.436311,0.0247526,0.466563,0.00058945,0.0303024,0.00625748,0.00950184,0.0186814,0.0101167,0.0112745,0.000313925,NA,NA,NA,NA,NA,0.491602,0.661924,0.684721,0.795561,0.844845,0.863861,0.9625,1.02442,1.11688,1.20819,1.30968,1.47893,1.55689
simulation,99,99,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.15783,FOCE_I,NA,215.7,272.34,-16755.310075353147,642.418,1972.97,22.5703,0.756877,19.9142,0.000582006,0.115399,0.0482967,0.0136175,0.273683,0.0489074,0.0561977,0.0099336,13.0782,50.3293,0.410391,0.0291074,0.457336,0.000505339,0.0335316,0.00757653,0.00993629,0.0159381,0.0124368,0.0190596,0.00031678,NA,NA,NA,NA,NA,0.496552,0.641732,0.697435,0.793912,0.82902,0.829955,0.963957,1.0187,1.09685,1.19105,1.32231,1.5505,1.56803
simulation,100,100,1,1,1,1,1,0,0,0,0,0,0,0,3,4.30739,FOCE_I,NA,204.74,266.8,-16921.054958664994,645.529,1901.55,22.8323,0.776149,18.8176,0.00152674,0.126227,0.0265809,0.0351944,0.317376,0.0395215,0.0486989,0.00978416,11.2982,46.0886,0.406785,0.0295404,0.456064,0.000559354,0.0341078,0.00476273,0.00849002,0.0184331,0.0129053,0.0159073,0.000309852,NA,NA,NA,NA,NA,0.395358,0.561193,0.652699,0.707493,0.809593,0.875134,0.966424,0.998208,1.05858,1.27495,1.45841,1.539,1.70296
