SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_8_covmodel_3.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0014,        0.0968,    0.03922071,     0.0219634,     0.3074847,    0.03922071,    0.03922071,   0.009950331,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-16731.9785786899,       630.326,      1919.613,       22.8425,     0.7453586,      19.43087,    0.00130922,    0.09864054,    0.03861444,    0.02378173,     0.3053778,    0.03609858,    0.03478423,   0.009970809,
"        median",-16717.4343089454,       629.537,      1922.265,       22.8289,      0.744978,       19.4592,    0.00131911,     0.1006485,    0.03850255,     0.0235998,     0.3067845,    0.03569675,    0.03308495,     0.0099858,
"            sd",      199.2758,      12.64949,      45.31923,     0.3851346,    0.02773885,     0.4573313,  0.0005357076,    0.03335231,   0.006863488,   0.009699701,    0.01668614,     0.0111021,    0.01597765,   0.000306235,
"           max",-16224.012348187080,       659.662,       2054.47,       23.9481,      0.816455,       20.5739,    0.00292762,      0.195475,     0.0640247,     0.0519983,      0.348474,     0.0689864,     0.0849335,     0.0109525,
"           min",-17395.064522022942,       600.327,       1809.19,       21.6553,      0.679576,       18.3283,   0.000157332,     0.0295383,     0.0209837,     0.0041092,      0.258805,    0.00593867,    0.00965772,    0.00878307,
"      skewness",-0.217460215036602,     0.1226877,    0.02754756,-0.00094992068314365,     0.1395938,      0.171505,     0.1513655,     0.2306071,     0.2561443,     0.2883579,-0.208011985181929,     0.1413197,     0.7211853,-0.114154392212983,
"      kurtosis",     0.5767535,-0.654024301805461,-0.0975858616348151,    0.07097839,-0.35766555881571,-0.157053502052958,-0.345371345369778,-0.188947724779666,     0.2574573,-0.280109014050583,-0.257150618688511,    0.01957272,     0.3080308,     0.9372946,
"          rmse",              ,      12.83042,      49.27723,     0.3884494,      0.028056,     0.5112787,  0.0005420229,     0.0333197,   0.006873099,   0.009844802,     0.0167772,      0.011506,    0.01654362,  0.0003061541,
" relative_rmse",              ,       2.04306,      2.593538,      1.696285,        3.7408,       2.66291,      38.71592,      34.42118,      17.52416,      44.82368,      5.456271,      29.33654,      42.18082,      3.076823,
"          bias",              ,       2.32595,       19.6133,-0.0574964999999986,-0.00464141500000004,     0.2308675,-9.0780305e-05,   0.001840539,-0.000606269653281303,   0.001818338,-0.0021069247479605,-0.0031221335532813,-0.0044364865532813,2.04778468319997e-05,
" relative_bias",              ,     0.3703742,      1.032279,-0.251076419213968,-0.618855333333339,      1.202435,    -6.4843075,      1.901383,-1.54578946821262,      8.278948,-0.685212873904786,-7.96042015115703,-11.3115907299869,     0.2058007,
"relative_absolute_bias",              ,     0.3703742,      1.032279,-0.251076419213968,-0.618855333333339,      1.202435,    -6.4843075,      1.901383,-1.54578946821262,      8.278948,-0.685212873904786,-7.96042015115703,-11.3115907299869,     0.2058007,
"           rse",              ,      0.142429,     0.1686607,      0.118922,     0.2615243,     0.1684281,      2.705732,      2.436327,      1.237412,      3.122798,     0.3837227,      2.001588,      2.880597,     0.2176217,
"standard error CI",
"          0.5%",              ,   0.002907428,     0.5971343,-0.557895111002849,-1.29358814669275,     0.7678903,-13.4650963296866,-4.38434135380928,-4.73831298914505,     0.2221304,-1.67521742867744,-13.1245168604156,-18.7435297337947,-0.355663416786311,
"          2.5%",              ,     0.0912134,      0.701704,-0.484163487394668,-1.13144305200948,     0.8723157,-11.7875424248782,-2.87381850765394,-3.97111741434733,      2.158265,-1.43730935737548,-11.8835323798961,-16.9575598956703,-0.220737940331869,
"            5%",              ,     0.1360785,     0.7548321,-0.44670306572277,-1.04906288293653,     0.9253706,-10.9352368119514,-2.10637544872019,-3.58133256586139,      3.141946,-1.31643670824626,-11.2530322002773,-16.0501719940426,-0.152187093423564,
"           95%",              ,     0.6046699,      1.309726,-0.0554497727051652,-0.188647783730147,      1.479499,-2.03337818804864,      5.909141,     0.4897536,      13.41595,-0.053989039563308,-4.66780810203676,-6.57300946593107,     0.5637884,
"         97.5%",              ,      0.649535,      1.362854,-0.0179893510332669,-0.106267614657195,      1.532554,-1.18107257512178,      6.676584,     0.8795385,      14.39963,    0.06688361,-4.03730792241798,-5.66562156430337,     0.6323393,
"         99.5%",              ,      0.737841,      1.467424,    0.05574227,    0.05587748,       1.63698,     0.4964813,      8.187107,      1.646734,      16.33577,     0.3047917,-2.79632344189849,-3.87965172617901,     0.7672647,
