"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3.39287,FOCE_I,NA,197.2,244.71,-20948.219123690385,643.243,1925.23,22.6786,0.792556,19.3616,0.00133859,0.0904666,0.0399763,0.0116815,0.0374941,0.0386267,0.0197159,0.00252729,9.29727,31.1116,0.211902,0.0180491,0.165139,0.000196349,0.0107298,0.0046142,0.00272285,0.00222743,0.00634479,0.00649646,8.2827e-05,NA,NA,NA,NA,NA,0.470737,0.523499,0.680616,0.783629,0.853347,0.922571,0.958918,0.991767,1.0263,1.18332,1.45956,1.54859,1.59715
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3.6,3.04365,FOCE_I,NA,195.97,251.67,-20817.137870097529,617.385,1920.44,22.874,0.716469,19.464,0.00119464,0.089381,0.0420077,0.00461137,0.0363805,0.0380439,0.0431423,0.00248676,9.39281,31.3106,0.216958,0.0189013,0.164566,0.000195411,0.0108935,0.00502703,0.00284853,0.00218213,0.00731113,0.011029,8.44837e-05,NA,NA,NA,NA,NA,0.529944,0.644235,0.683611,0.734354,0.868555,0.876124,0.932854,1.00556,1.02809,1.2517,1.34669,1.48531,1.61297
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,3.9,2.86945,FOCE_I,NA,191.57,256.97,-20703.489864940406,638.629,1939.84,22.7996,0.784138,19.1905,0.00126005,0.108377,0.0405051,0.00692722,0.0403731,0.0446271,0.0320948,0.00249981,9.50377,32.4788,0.221354,0.0191616,0.170928,0.000206194,0.0123331,0.00468212,0.00281071,0.0023997,0.00745256,0.00865733,8.40632e-05,NA,NA,NA,NA,NA,0.532989,0.649322,0.702029,0.757595,0.861608,0.887888,0.941846,1.01732,1.08511,1.25057,1.35234,1.43201,1.52939
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.02775,FOCE_I,NA,205.46,250.2,-20736.179091842725,616.48,1933.62,22.8502,0.734902,19.2075,0.00121999,0.101056,0.0359877,0.00815554,0.0407095,0.0346878,0.039573,0.00239128,8.82401,30.4873,0.220011,0.0182719,0.171032,0.000204087,0.0119757,0.00418182,0.00271472,0.00241441,0.0061934,0.00838903,7.89784e-05,NA,NA,NA,NA,NA,0.520683,0.614597,0.703679,0.774471,0.858746,0.876346,0.934339,0.990841,1.03457,1.25137,1.35021,1.51364,1.5765
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.01153,FOCE_I,NA,203.57,250.82,-20779.932234174430,627.881,1937.7,23.2456,0.732456,19.2874,0.00148299,0.118722,0.0427135,0.0077128,0.0391238,0.0337032,0.0377963,0.00254607,9.49825,30.8779,0.22538,0.0180777,0.16919,0.000204429,0.0126779,0.00514612,0.00287941,0.00233048,0.00671233,0.0089909,8.53085e-05,NA,NA,NA,NA,NA,0.509821,0.609237,0.711717,0.734583,0.845192,0.8701,0.953139,1.01714,1.06571,1.28754,1.38233,1.47815,1.53534
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.12538,FOCE_I,NA,216.45,253.61,-20731.340954308915,630.367,1874.18,22.7686,0.727968,19.2765,0.00125116,0.0876871,0.0403366,0.00916173,0.0357911,0.0433527,0.02431,0.00255481,9.34841,31.7098,0.220484,0.0169553,0.16103,0.000192619,0.0103706,0.00495709,0.00269502,0.00214263,0.00781028,0.00772558,8.60207e-05,NA,NA,NA,NA,NA,0.500643,0.573751,0.691068,0.726824,0.847569,0.877315,0.939287,1.01286,1.07395,1.25668,1.42953,1.50582,1.5647
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.73449,FOCE_I,NA,213.41,254.23,-20925.939932802892,631.65,1848.74,22.9514,0.751884,19.4291,0.00181175,0.0969178,0.0441059,0.00635745,0.0409781,0.0416155,0.0363607,0.00241112,9.51361,30.825,0.220275,0.0186549,0.173047,0.000212388,0.0120306,0.0050231,0.00284526,0.00241149,0.00667622,0.00860652,7.93713e-05,NA,NA,NA,NA,NA,0.547423,0.658835,0.719157,0.811197,0.858646,0.931538,0.958678,1.00235,1.06075,1.19467,1.32621,1.43362,1.49693
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.3732,FOCE_I,NA,192.56,249.67,-20875.072395284351,620.925,1884.2,23.0095,0.738309,19.6435,0.0013324,0.112581,0.0368119,0.0106366,0.0379759,0.0352445,0.0467421,0.00261738,8.9724,30.8568,0.233733,0.0193151,0.169621,0.000196764,0.0120418,0.00448829,0.0027463,0.00226335,0.00659287,0.0113851,8.69782e-05,NA,NA,NA,NA,NA,0.473104,0.52762,0.713379,0.758063,0.85336,0.881837,0.954638,1.00436,1.03472,1.24498,1.43244,1.52563,1.59588
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.5,2.82288,FOCE_I,NA,198.79,241.79,-20780.593175083421,624.572,1874.07,22.5197,0.766381,19.363,0.00124066,0.0811757,0.0360172,0.00749103,0.0418792,0.0268094,0.0292357,0.0025081,8.82178,28.5924,0.222789,0.0180519,0.17343,0.000205563,0.0110362,0.00414631,0.00276676,0.00247338,0.00646356,0.00784551,8.43187e-05,NA,NA,NA,NA,NA,0.53135,0.618705,0.692134,0.707308,0.861862,0.896267,0.955147,0.985936,1.03997,1.35817,1.40424,1.44897,1.49994
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,3.7,2.92485,FOCE_I,NA,195.09,248.71,-20922.674853384080,657.075,1908.23,23.1408,0.768903,19.2995,0.00149279,0.0802861,0.0331987,0.00781903,0.0365596,0.0417197,0.0331238,0.0024145,9.06485,31.3596,0.235699,0.0188773,0.163545,0.000196171,0.010946,0.00401467,0.00262491,0.00217917,0.00696717,0.00797202,7.98404e-05,NA,NA,NA,NA,NA,0.525112,0.594815,0.701747,0.774529,0.843038,0.884794,0.961977,0.999092,1.05661,1.23613,1.43209,1.45418,1.53587
