SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_3_covmodel_18.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0034,        0.2504,    0.03922071,     0.0219634,     0.3074847,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-20044.4826788711,      632.1858,      1917.637,      22.80866,     0.7491502,      19.33395,   0.003411312,     0.2480823,    0.03882073,    0.02404435,     0.3063264,    0.03772673,    0.03868305,   0.002541949,
"        median",-20049.6683649012,       632.213,       1919.07,       22.8004,     0.7471785,       19.3394,    0.00342636,      0.249479,    0.03873945,      0.023453,      0.306762,     0.0374882,    0.03768405,   0.002503015,
"            sd",      210.8605,      9.405188,      31.57313,     0.2553731,    0.01886305,     0.4315958,  0.0006354699,    0.04158071,   0.004539938,   0.008591041,    0.01783874,   0.006812068,    0.01069432,  0.0002198192,
"           max",-19493.031872224983,       656.552,       2006.84,       23.4679,      0.813283,        20.651,    0.00522868,      0.363069,     0.0524411,     0.0526919,      0.353678,     0.0557343,     0.0892665,    0.00428391,
"           min",-20633.787651451054,       608.552,       1822.23,        20.955,       0.69812,       18.1015,     0.0011003,      0.143582,     0.0287988,    -0.0209184,      0.268864,     0.0100274,     0.0105702,    0.00228609,
"      skewness",    0.09033959,    0.08733278,-0.271309484935303,-2.0804056780122,     0.6200458,     0.1328313,-0.358550107747474,    0.01128038,     0.3608182,-0.177933554797171,     0.2214768,-0.374181422241006,     0.6969462,       4.47873,
"      kurtosis",     0.1894024,-0.284091478771767,-0.199824280524186,      14.59171,     0.5345968,     0.2466228,      0.587739,-0.0117432290536352,-0.307059169935207,      3.644874,-0.357114848302852,      1.190885,      2.788443,      26.70898,
"          rmse",              ,      10.27307,      36.09607,     0.2706147,    0.01883502,      0.450872,  0.0006339801,    0.04154134,   0.004546204,   0.008818579,    0.01783175,   0.006957315,    0.01068109,  0.0002238528,
" relative_rmse",              ,      1.635839,      1.899793,      1.181724,      2.511336,      2.348291,      18.64647,      16.58999,      11.59133,      40.15125,       5.79923,      17.73888,      27.23329,        8.9653,
"          bias",              ,       4.18577,      17.63655,-0.0913399999999985,-0.00084982500000004,     0.1339475,1.13124000000002e-05,   -0.00231774,-0.000399982153281302,   0.002080956,-0.0011583047479605,-0.0014939811532813,-0.000537659153281302,4.50687514129002e-05,
" relative_bias",              ,     0.6665239,     0.9282395,-0.398864628820955,-0.113310000000005,     0.6976432,     0.3327176,-0.925615015974443,-1.01982376434131,      9.474654,-0.376703214472116,-3.80916366166665,-1.37085511724388,      1.805003,
"relative_absolute_bias",              ,     0.6665239,     0.9282395,-0.398864628820955,-0.113310000000005,     0.6976432,     0.3327176,-0.925615015974443,-1.01982376434131,      9.474654,-0.376703214472116,-3.80916366166665,-1.37085511724388,      1.805003,
"           rse",              ,     0.1058992,      0.117503,    0.07885416,     0.1778426,     0.1589502,      1.321603,      1.174201,     0.8185014,      2.765867,     0.4102283,      1.228142,      1.928069,     0.6225194,
"standard error CI",
"          0.5%",              ,     0.3933038,     0.6250817,-0.602308373836291,-0.572143861276842,     0.2875518,-3.07701835717954,-3.95505488167004,-3.13155741971237,      2.338717,-1.43509226175597,-6.97776948677955,-6.34527430720005,     0.1989024,
"          2.5%",              ,     0.4589614,     0.6979336,-0.553418791700823,-0.461881460504889,     0.3861009,-2.25762443368039,-3.22704995270443,-2.62408654128986,      4.053554,-1.18075070775752,-6.21632157531831,-5.14987124604779,     0.5848644,
"            5%",              ,     0.4923196,      0.734947,-0.528579729809415,-0.405861047209461,     0.4361702,-1.84131945641873,-2.85717648072997,-2.36625859499456,      4.924802,-1.0515287891938,-5.82945691062429,-4.54252936820431,     0.7809581,
"           95%",              ,     0.8407281,      1.121532,-0.269149527832494,      0.179241,     0.9591163,      2.506755,      1.005946,     0.3266111,      14.02451,     0.2981224,-1.788870412709,      1.800819,      2.829047,
"         97.5%",              ,     0.8740864,      1.158545,-0.244310465941086,     0.2352615,      1.009186,       2.92306,       1.37582,      0.584439,      14.89575,     0.4273443,-1.40200574801498,      2.408161,      3.025141,
"         99.5%",              ,     0.9397439,      1.231397,-0.195420883805618,     0.3455239,      1.107735,      3.742454,      2.103825,       1.09191,      16.61059,     0.6816858,-0.640557836553743,      3.603564,      3.411103,
