"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1.6,890425000000000,FOCE_I,NA,720.87,540.92,-20441.484461530792,650.418,1862.57,22.7011,0.747652,20.651,0.0035815,0.161107,0.0287988,-0.0209184,0.287566,0.0362191,0.0643868,0.00284815,0.00499304,0.0101867,9.55774e-05,0.00875381,0.200977,0.000848178,0.0353581,3.0804e-05,0.00297541,0.0167385,0.0074623,0.0168026,5.3663e-08,NA,NA,NA,NA,NA,2.8423e-15,0.00957798,0.0903619,0.628594,0.715788,0.927108,1.00022,1.00089,1.12021,1.23525,1.83095,1.91019,2.53086
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,4.4,2.96732,FOCE_I,NA,325.61,273,-20437.434216550944,632.124,1978.67,22.8249,0.728599,19.7298,0.00393261,0.257517,0.03656,0.027259,0.291393,0.0405975,0.0448108,0.00241681,9.05095,32.0405,0.209132,0.0180859,0.451571,0.00059934,0.0444035,0.00450471,0.00746512,0.0165677,0.00660228,0.00948993,8.03305e-05,NA,NA,NA,NA,NA,0.514047,0.618298,0.718043,0.784738,0.877474,0.920296,0.961772,0.983961,1.0732,1.19798,1.39669,1.42815,1.52534
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,4.1,2.85293,FOCE_I,NA,225.32,260.56,-20208.154540001477,636.181,1930.63,22.8415,0.745022,19.1056,0.00290315,0.26766,0.03576,0.0220689,0.332684,0.0294631,0.0334447,0.00257472,9.16403,29.4179,0.216005,0.0174949,0.464939,0.000601959,0.0455809,0.00441272,0.00876026,0.0189964,0.00577439,0.00827758,8.49915e-05,NA,NA,NA,NA,NA,0.53123,0.657962,0.719155,0.788589,0.881192,0.907697,0.936022,0.964102,1.08742,1.23988,1.37689,1.3943,1.51556
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.1,2.47277,FOCE_I,NA,212.89,262.45,-20180.950588941621,619.978,1858.29,22.6582,0.725417,18.7731,0.00411895,0.311199,0.0355732,0.00975087,0.275729,0.0307947,0.0385711,0.00247655,8.91192,28.712,0.212632,0.0177421,0.414961,0.000587703,0.0431189,0.00443889,0.00730596,0.0156883,0.00599828,0.00863932,8.21217e-05,NA,NA,NA,NA,NA,0.594594,0.708042,0.720631,0.79417,0.884695,0.921095,0.965039,0.983667,1.07443,1.21073,1.25335,1.41926,1.47029
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,3.6,2.73494,FOCE_I,NA,239.14,264.36,-19930.661417128060,616.528,1921.47,22.594,0.735244,18.8538,0.00386535,0.261911,0.033197,0.0190175,0.288734,0.048961,0.0483726,0.00245836,8.79218,32.4639,0.215099,0.0192461,0.431568,0.000625736,0.0432827,0.00435627,0.00732476,0.0164764,0.00757863,0.0104703,8.18267e-05,NA,NA,NA,NA,NA,0.555966,0.620932,0.70094,0.769562,0.866795,0.923851,0.947466,0.970703,1.08929,1.20186,1.38241,1.4497,1.52053
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3.2,3.06927,FOCE_I,NA,290.03,266.01,-20073.392015103240,631.949,1947.81,22.9372,0.737418,19.5306,0.0039001,0.192252,0.0458694,0.0284464,0.287697,0.0324286,0.0218062,0.00256029,9.65234,30.3487,0.211628,0.0159928,0.44585,0.000603246,0.03972,0.00531432,0.00858735,0.0164038,0.00636584,0.00640845,8.47588e-05,NA,NA,NA,NA,NA,0.501956,0.601048,0.717222,0.740189,0.86681,0.913631,0.961955,1.00528,1.02789,1.23681,1.40192,1.48466,1.54064
simulation,7,7,1,1,1,0,1,0,0,1,0,0,0,0,0.1,2451860,FOCE_I,NA,2305.64,525.62,-19900.410527615946,627.791,1946.54,22.6126,0.74958,19.4642,0.00310344,0.21664,0.0394161,0.0250962,0.32293,0.0282579,0.0131833,0.00366201,0.00860248,29.3122,0.255203,0.0124734,0.351761,0.000654281,0.0545925,0.000239843,0.00445397,0.017348,0.00594247,0.00379846,2.93174e-07,NA,NA,NA,NA,NA,8.18841e-07,0.0224441,0.759879,0.808714,0.919618,0.965947,0.999139,1.00332,1.0764,1.26142,1.37419,1.80126,2.00768
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.5,2.77604,FOCE_I,NA,245.06,273.87,-19936.441516395007,633.396,1976.86,22.8119,0.746876,18.4404,0.00459925,0.257202,0.0352272,0.0255815,0.300135,0.0304573,0.0418859,0.00245997,9.04984,29.4603,0.214208,0.0189677,0.425486,0.000624307,0.0442024,0.0042264,0.00771929,0.0170686,0.00568904,0.00958928,8.16435e-05,NA,NA,NA,NA,NA,0.541384,0.638516,0.71984,0.759726,0.898108,0.901454,0.983984,0.996373,1.05399,1.22662,1.37017,1.40694,1.5029
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.6,3.64091,FOCE_I,NA,228.09,261.61,-20045.670109729028,618.895,1928.16,22.9495,0.749058,18.9509,0.00418935,0.325206,0.047929,0.0430404,0.314785,0.0303497,0.0306443,0.00258734,9.51496,29.7123,0.214043,0.0177555,0.446628,0.000632109,0.0468806,0.0054581,0.00893725,0.0180362,0.00568155,0.00834745,8.53342e-05,NA,NA,NA,NA,NA,0.445721,0.5761,0.722041,0.781922,0.85738,0.90272,0.974923,1.01043,1.03275,1.20232,1.39507,1.47579,1.62283
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,4.3,2.6381,FOCE_I,NA,324.45,279.12,-20159.977044706422,629.71,1917.08,22.6601,0.73279,19.2794,0.00310166,0.249461,0.0323285,0.0228487,0.293148,0.0435566,0.0284071,0.00242555,8.7192,31.5731,0.208955,0.0165124,0.439041,0.000610685,0.0402253,0.0038744,0.00739805,0.0167224,0.00763409,0.00698513,8.11131e-05,NA,NA,NA,NA,NA,0.552775,0.640102,0.720851,0.758515,0.921798,0.939644,0.969245,0.995376,1.03801,1.2554,1.35866,1.39135,1.45828
