SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_3_covmodel_3.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0014,        0.0968,    0.03922071,     0.0219634,     0.3074847,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-19743.9044696407,      631.0484,      1917.668,      22.82748,     0.7468302,      19.27553,   0.001427775,     0.1025339,    0.03871349,     0.0226174,     0.3062335,    0.03677126,    0.03764305,   0.002542333,
"        median",-19729.7546050072,      630.3705,      1921.545,      22.82385,       0.74614,       19.3034,   0.001413605,      0.102172,    0.03894915,     0.0229552,     0.3055475,    0.03658975,    0.03769975,    0.00251291,
"            sd",      207.7769,      9.933049,      29.55092,     0.2294677,    0.01949728,     0.4368362,  0.0005651657,    0.03411703,   0.004599714,   0.007851931,    0.01791366,   0.007891386,    0.01040635,  0.0002302917,
"           max",-19235.879354499000,       660.285,       2013.76,       23.5185,      0.811192,       20.5408,    0.00298937,       0.21092,     0.0503457,     0.0436287,      0.377141,     0.0584753,     0.0744747,    0.00479893,
"           min",-20277.539373291758,       603.891,       1851.89,       22.1939,      0.686351,       18.2253,   -0.00103877,    0.00594521,     0.0272599,    0.00315347,      0.259842,    0.00610835,    0.00951036,     0.0022164,
"      skewness",   0.009406331,-0.00403519419210347,-0.0427078723940784,-0.0589499603794143,     0.1097238,    0.03724778,-0.418980025989988,    0.08947842,-0.00953536225299612,-0.0906945670875087,     0.3947273,-0.00538719259628302,     0.2088111,      6.171757,
"      kurtosis",-0.235212602747328,-0.124509580275086,-0.243371727837465,     0.3985794,      0.282079,-0.242483159656722,      1.878934,     0.8247674,-0.364146742847711,-0.222816658582847,     0.4146604,     0.9632083,     0.4300521,      52.65741,
"          rmse",              ,      10.36654,      34.36639,     0.2401079,     0.0197051,     0.4422406,  0.0005644348,    0.03451129,   0.004616151,   0.007859534,    0.01791257,   0.008243932,     0.0104995,  0.0002341689,
" relative_rmse",              ,      1.650723,      1.808757,      1.048506,      2.627346,      2.303337,      40.31677,      35.65216,      11.76968,      35.78469,      5.825515,      21.01933,       26.7703,      9.378461,
"          bias",              ,      3.048435,        17.668,-0.0725234999999986,-0.00316982500000004,      0.075532,2.77749450000001e-05,   0.005733887,-0.000507221153281302,  0.0006540082,-0.0012511697479605,-0.0024494509032813,-0.0015776603532813,4.54531014129002e-05,
" relative_bias",              ,     0.4854196,     0.9298947,-0.316696506550212,-0.422643333333339,     0.3933958,      1.983925,      5.923437,-1.29324816532273,      2.977719,-0.406904717205787,-6.24529924713104,-4.02251827271864,      1.820396,
"relative_absolute_bias",              ,     0.4854196,     0.9298947,-0.316696506550212,-0.422643333333339,     0.3933958,      1.983925,      5.923437,-1.29324816532273,      2.977719,-0.406904717205787,-6.24529924713104,-4.02251827271864,      1.820396,
"           rse",              ,     0.1118428,     0.1099771,    0.07085508,     0.1838221,     0.1608801,      2.854518,      2.492188,     0.8292783,      2.527912,     0.4119512,      1.422731,      1.876151,     0.6521772,
"standard error CI",
"          0.5%",              ,     0.1968652,     0.6461537,-0.49950262487722,-0.896904344506104,-0.0216748581225547,-5.38073144800439,-0.506408975154494,-3.43278617675723,-3.54429393847266,-1.46973884108054,-9.91594540265697,-8.8629875692392,     0.1377786,
"          2.5%",              ,     0.2662077,     0.7143396,-0.45557247241104,-0.782934644146758,    0.07807081,-3.61093037190588,      1.038748,-2.91863363137375,-1.9769884711601,-1.21432909038195,-9.03385214047632,-7.69977401736217,     0.5421285,
"            5%",              ,     0.3014382,     0.7489823,-0.433253120754835,-0.725030683480316,      0.128748,-2.71175724453325,      1.823787,-2.65741096718698,-1.18069617728356,-1.08456445897864,-8.58569185404583,-7.10878648697303,     0.7475643,
"           95%",              ,      0.669401,      1.110807,-0.200139892345589,-0.120255983186363,     0.6580436,      6.679607,      10.02309,    0.07091464,      7.136134,      0.270755,-3.90490664021625,-0.936250058464243,      2.893227,
"         97.5%",              ,     0.7046314,       1.14545,-0.177820540689385,-0.0623520225199206,     0.7087209,       7.57878,      10.80813,     0.3321373,      7.932427,     0.4005197,-3.45674635378576,-0.345262528075104,      3.098663,
"         99.5%",              ,      0.773974,      1.213636,-0.133890388223204,    0.05161768,     0.8084665,      9.348581,      12.35328,     0.8462898,      9.499732,     0.6559294,-2.57465309160511,      0.817951,      3.503013,
