"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,0,1,0,0,1,0,0,0,0,2.7,83628000,FOCE_I,NA,398.2,516.91,-20253.285929151396,635.462,1931.96,23.2589,0.736164,19.9438,0.00112761,0.0234814,0.0407057,0.0415428,0.307002,0.0306219,0.0473247,0.00313013,0.00465048,0.0147529,0.000175894,0.0186326,0.000180137,0.00023037,0.0204497,0.000348261,0.00149256,0.0341819,0.00854182,0.0117549,8.72429e-08,NA,NA,NA,NA,NA,3.76103e-08,3.3467e-05,0.000766964,0.643511,0.985985,0.999133,0.999588,0.999609,1.00027,1.0268,1.24572,1.95332,3.14527
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3,2.68199,FOCE_I,NA,312.14,262.9,-19757.580630370434,643.462,1929.76,22.9843,0.742688,19.477,0.00113691,0.110288,0.0441809,0.01433,0.295905,0.0408411,0.0407464,0.00258816,10.1334,31.6793,0.223238,0.0190003,0.457217,0.000561882,0.0336984,0.0051563,0.00853193,0.0168706,0.00655943,0.00927842,8.55232e-05,NA,NA,NA,NA,NA,0.572635,0.683912,0.709739,0.780045,0.81592,0.923996,0.957252,0.977638,1.06911,1.21063,1.28845,1.47487,1.5358
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,3,2.97763,FOCE_I,NA,438.64,269.04,-19854.399150947283,631.588,1861.97,22.7464,0.739318,19.4441,0.00177593,0.0796313,0.0335892,0.0229574,0.292285,0.0432757,0.0421819,0.00245677,8.97617,30.4779,0.216415,0.0185215,0.443547,0.000545002,0.025226,0.00442643,0.00754435,0.0166315,0.00719415,0.0114882,8.2325e-05,NA,NA,NA,NA,NA,0.519495,0.601089,0.725414,0.747308,0.850289,0.864926,0.941315,0.978226,1.11998,1.24602,1.40555,1.45351,1.54687
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.6,2.96913,FOCE_I,NA,257.05,274.46,-19868.473296552394,639.161,1859.35,23.0549,0.768518,19.3603,0.000499149,0.0589314,0.0379226,0.0227994,0.298911,0.0314661,0.0396845,0.00244714,9.43942,28.3543,0.214292,0.0195375,0.4522,0.000513199,0.0265424,0.00452021,0.00777181,0.0169878,0.00594902,0.0084661,8.03339e-05,NA,NA,NA,NA,NA,0.518895,0.64361,0.70895,0.771165,0.833024,0.932723,0.959605,0.977551,1.05615,1.18366,1.42477,1.44923,1.54067
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,3.2,2.06829e+16,FOCE_I,NA,1178.3,511.72,-19644.217963355790,653.59,1933.85,22.7435,0.763221,18.6109,-0.00103877,0.168546,0.0405041,0.0370954,0.377141,0.0145783,0.0143836,0.00311915,0.0068444,0.0172222,0.140089,1.21772e-05,0.000159398,0.000102116,0.00204866,0.00339336,0.00500924,0.0443201,0.00490731,0.0120776,9.97163e-08,NA,NA,NA,NA,NA,-2.23058e-16,7.93069e-07,0.0287995,0.0498418,0.11838,0.208773,0.311823,0.404548,0.688223,0.866023,2.4288,3.28131,4.61348
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.3454,FOCE_I,NA,305.43,263.9,-19902.431442600056,624.778,1906.57,23.2663,0.73063,19.9399,0.00173278,0.135492,0.0445542,0.0379155,0.297112,0.036278,0.0445475,0.00253416,9.48726,30.9223,0.222453,0.0186253,0.466482,0.000559213,0.0356422,0.00527225,0.00872609,0.0169738,0.00651781,0.0104054,8.46413e-05,NA,NA,NA,NA,NA,0.474946,0.580089,0.721484,0.774745,0.857486,0.872548,0.952437,0.980287,1.07935,1.22391,1.37935,1.51448,1.58888
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.87269,FOCE_I,NA,220.66,266.82,-19623.847347322146,628.236,1943.58,22.5691,0.731967,18.5455,0.000592644,0.0790845,0.0398156,0.0244281,0.323196,0.037062,0.0339016,0.00251453,9.46905,30.1005,0.210749,0.017427,0.442368,0.000530747,0.0243564,0.00473561,0.00852559,0.0183762,0.00621564,0.00913429,8.30597e-05,NA,NA,NA,NA,NA,0.519644,0.653793,0.712865,0.778704,0.893579,0.94646,0.96625,0.98412,1.09469,1.22266,1.33851,1.39594,1.49278
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.5,2.49035,FOCE_I,NA,246.58,261.92,-19952.280843637691,636.405,1945.49,23.0332,0.751487,19.0862,0.00161957,0.0860839,0.036118,0.0116594,0.320588,0.0308082,0.0362413,0.00236014,9.19966,29.1816,0.211958,0.0182485,0.45941,0.000596784,0.0325511,0.00432074,0.00795445,0.0182201,0.00519343,0.00844239,7.72927e-05,NA,NA,NA,NA,NA,0.582348,0.678252,0.730424,0.826714,0.905992,0.946362,0.967304,0.985645,1.08021,1.16279,1.30213,1.38158,1.45025
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.4,2.96129,FOCE_I,NA,385.4,265.45,-19924.200639937346,631.319,1924.77,23.0483,0.755556,19.2183,0.00135572,0.0947297,0.0432737,0.0273511,0.312806,0.0320423,0.0318883,0.00246514,9.69231,29.0939,0.212532,0.0178731,0.461295,0.0005694,0.0343522,0.00502788,0.00808783,0.0177624,0.00607285,0.00798813,8.25576e-05,NA,NA,NA,NA,NA,0.512998,0.629021,0.702119,0.755779,0.919047,0.952925,0.972476,0.997589,1.05706,1.23165,1.36511,1.38509,1.51914
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,4.4,2.58067,FOCE_I,NA,354.41,274.49,-19861.740111406540,638.582,1948.76,22.7724,0.74454,19.3572,0.0026233,0.0989995,0.041144,0.0183171,0.332259,0.0488815,0.0230097,0.00240713,9.53474,32.807,0.20555,0.0163266,0.479323,0.000613373,0.0385718,0.00475294,0.00842326,0.018917,0.00729661,0.00633528,7.96892e-05,NA,NA,NA,NA,NA,0.56772,0.662789,0.722279,0.790844,0.90635,0.938827,0.959331,0.985339,1.05227,1.19962,1.31586,1.43368,1.4651
