"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.77748,FOCE_I,NA,187.98,247.98,-20711.782498705063,646.578,1862.48,22.6156,0.751635,19.6158,0.000282569,0.026047,0.0393266,0.00728856,0.0406951,0.0370941,0.0313534,0.00256116,9.47782,30.2059,0.228538,0.0184529,0.174278,0.000193155,0.00855939,0.00472309,0.00287896,0.00241727,0.00680519,0.00874235,8.49325e-05,NA,NA,NA,NA,NA,0.543683,0.630903,0.699974,0.770752,0.837398,0.907327,0.955306,0.994517,1.08004,1.22464,1.39909,1.4463,1.51007
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.16861,FOCE_I,NA,201.28,258.7,-20526.744276653393,620.22,1928.66,23.0506,0.744692,19.2326,0.000256141,0.0349404,0.0457897,0.0101989,0.0406463,0.037517,0.0346143,0.00252476,9.61141,30.939,0.215567,0.0188193,0.171657,0.000189535,0.00923983,0.0054393,0.0030243,0.00242323,0.00705023,0.0106191,8.58093e-05,NA,NA,NA,NA,NA,0.519861,0.544667,0.703636,0.714527,0.852615,0.881785,0.953351,0.997887,1.04219,1.28083,1.40939,1.45203,1.64723
simulation,3,3,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.3843,FOCE_I,NA,208.39,248.78,-20661.136714535536,635.11,1965.4,22.9169,0.770691,19.2729,0.000232591,0.0145449,0.040435,0.0133395,0.0415778,0.0421723,0.0233798,0.00242635,9.27928,31.8224,0.215495,0.0177001,0.170663,0.000188141,0.0071464,0.0046721,0.00291662,0.00245623,0.00741872,0.00730188,8.17844e-05,NA,NA,NA,NA,NA,0.472513,0.536594,0.725399,0.731542,0.867478,0.883863,0.943487,1.01518,1.05802,1.26906,1.39196,1.50578,1.59913
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.87663,FOCE_I,NA,203.87,251.41,-20622.589099008932,638.99,1934.56,22.602,0.757194,19.3769,0.000254308,0.0323806,0.0388132,0.0037413,0.0382486,0.0435437,0.0383104,0.00255168,9.54281,32.1237,0.212783,0.0196367,0.16725,0.000186486,0.00865966,0.00470571,0.00288492,0.00228056,0.00701488,0.0103265,8.51826e-05,NA,NA,NA,NA,NA,0.550353,0.676041,0.709448,0.750122,0.881161,0.896177,0.927169,1.00433,1.05583,1.21834,1.28306,1.4648,1.58316
simulation,5,5,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.01416,FOCE_I,NA,180.91,248.87,-20633.155205888506,634.911,1931.55,22.9233,0.750028,19.8249,0.000248616,0.0250303,0.0383064,0.00573231,0.0370216,0.0395038,0.040394,0.00260383,9.40281,31.9368,0.2217,0.0194972,0.167401,0.000183857,0.00764523,0.00474213,0.00268852,0.00220316,0.00686138,0.0106986,8.61552e-05,NA,NA,NA,NA,NA,0.54041,0.639401,0.706621,0.765842,0.892985,0.900486,0.941818,1.00359,1.03024,1.21118,1.27869,1.45987,1.62888
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.40668,FOCE_I,NA,186.64,245.93,-20700.407714645018,624.686,1916.53,23.2732,0.728197,19.2263,0.000450836,0.0256737,0.0347397,0.0107089,0.0393783,0.0251742,0.0358675,0.00249642,8.82733,28.2268,0.223167,0.0179043,0.167008,0.00018962,0.00840902,0.00432595,0.00293527,0.00234171,0.00510189,0.00868542,8.18039e-05,NA,NA,NA,NA,NA,0.467768,0.543481,0.711492,0.757819,0.853823,0.875235,0.964832,0.985419,1.06042,1.26345,1.43046,1.49227,1.59353
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,3.5,2.98294,FOCE_I,NA,196.77,244.93,-20607.012476837644,633.908,1911.63,22.701,0.804688,19.3797,0.000177981,0.0224294,0.0344927,0.00905619,0.0415325,0.0328583,0.0411512,0.00264006,9.01275,30.133,0.220894,0.0213723,0.172573,0.000189181,0.00828126,0.00428036,0.00277143,0.00244386,0.0063323,0.00984414,8.75521e-05,NA,NA,NA,NA,NA,0.507337,0.585447,0.722614,0.751453,0.877298,0.904574,0.959226,1.01071,1.02444,1.24823,1.41685,1.47847,1.51336
simulation,8,8,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.81519,FOCE_I,NA,207.11,256.86,-20788.165468177049,623.818,1923.33,23.4018,0.732943,19.5075,0.000240021,0.034296,0.0366337,0.00655262,0.0403516,0.0401066,0.0388198,0.00233594,8.99655,30.7265,0.224654,0.0184105,0.172511,0.000192472,0.00901558,0.0043621,0.00282662,0.00241255,0.00681019,0.00850748,7.77069e-05,NA,NA,NA,NA,NA,0.538094,0.653255,0.700533,0.759713,0.866899,0.900993,0.941655,1.00298,1.10067,1.2288,1.3542,1.43737,1.51484
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.3,2.59532,FOCE_I,NA,192.47,246.14,-20767.296971862343,621.096,1924.72,22.7265,0.743724,19.4959,9.51065e-06,0.0119882,0.0349692,0.00279754,0.0333358,0.033415,0.036145,0.00247928,8.74187,29.9753,0.211494,0.0183596,0.156661,0.000173875,0.00670964,0.00427441,0.00247037,0.00200312,0.00634093,0.008771,8.29054e-05,NA,NA,NA,NA,NA,0.565466,0.686033,0.702538,0.771592,0.865959,0.904198,0.951638,1.01484,1.09804,1.22889,1.29491,1.44833,1.46756
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,5,3.01025,FOCE_I,NA,239.35,249.61,-20761.183187708732,626.62,1916.08,22.884,0.718725,19.3498,0.000475507,0.0216102,0.0398997,0.00883032,0.0391913,0.0437128,0.0282161,0.00245329,9.29394,31.5088,0.223096,0.0167101,0.168113,0.000189274,0.00807018,0.00463987,0.00275082,0.00233613,0.00797914,0.00750281,8.32155e-05,NA,NA,NA,NA,NA,0.509135,0.604983,0.702641,0.731153,0.879732,0.912799,0.967758,1.00691,1.0452,1.28974,1.36313,1.4542,1.53263
