SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_1_covmodel_21.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0004,        0.0277,    0.03922071,   0.007844143,    0.03922071,    0.03922071,    0.03922071,    0.00249688,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-20659.1668978476,      631.5513,      1925.211,       22.8289,     0.7494181,      19.29912,  0.0003903374,    0.02761701,    0.03848387,   0.007941827,    0.03906583,    0.03710422,    0.03822107,   0.002498734,
"        median",-20649.1964587353,      630.7695,      1924.485,      22.82875,      0.749067,       19.2839,   0.000376536,    0.02756135,    0.03834345,    0.00789562,      0.039258,    0.03619185,     0.0381519,     0.0024886,
"            sd",      114.8627,      8.768113,      32.94671,     0.2211974,    0.01818986,      0.173471,  0.0001994135,   0.007951109,    0.00483775,   0.002899835,    0.00231789,   0.006820353,    0.01034296,8.48897021489189e-05,
"           max",-20270.998927942153,       659.715,       2015.85,       23.4018,      0.804688,       19.8249,    0.00090553,     0.0494412,     0.0545177,     0.0175702,     0.0456827,     0.0578694,     0.0707339,    0.00270137,
"           min",-20929.805401837086,       608.792,       1835.14,       22.2498,      0.707994,       18.8685,  -7.39606e-05,    0.00738241,     0.0273031,    0.00125311,     0.0333358,     0.0213052,     0.0076226,    0.00231677,
"      skewness",    0.01858501,     0.2801217,     0.1312444,    0.03629582,     0.4282813,     0.1425948,    0.07548796,     0.0242086,     0.1595112,     0.2746004,-0.0965747644661011,     0.3449797,      0.196553,     0.1868401,
"      kurtosis",     0.2146938,     0.4992997,     0.2728132,-0.342707713232145,     0.3416717,      0.178901,-0.549059229578488,-0.0736635700766786,    0.04984871,    0.06168785,     0.2003916,-0.150336316365646,     0.1083766,-0.458561959987806,
"          rmse",              ,      9.439645,      41.42032,     0.2318179,    0.01815366,     0.1994142,  0.0001991489,    0.00793164,   0.004881571,   0.002894226,    0.00231727,   0.007124898,    0.01036539,8.46975050347937e-05,
" relative_rmse",              ,      1.503128,      2.180017,      1.012305,      2.420488,      1.038615,      49.78722,      28.63408,      12.44641,      36.89665,      5.908282,      18.16616,      26.42836,      3.392133,
"          bias",              ,      3.551265,       25.2108,-0.0711049999999986,-0.000581900000000046,     0.0991175,-9.66260325000003e-06,-8.29897999999993e-05,-0.000736842653281302,9.76841693438008e-05,-0.000154887153281302,-0.0021164936532813,-0.000999645653281301,1.85395141290019e-06,
" relative_bias",              ,     0.5654881,      1.326884,-0.310502183406108,-0.0775866666666729,      0.516237,-2.41565081250001,-0.299602166064978,-1.87870794292188,      1.245314,-0.394911618960055,-5.39636708034777,-2.54876970078161,    0.07425072,
"relative_absolute_bias",              ,     0.5654881,      1.326884,-0.310502183406108,-0.0775866666666729,      0.516237,-2.41565081250001,-0.299602166064978,-1.87870794292188,      1.245314,-0.394911618960055,-5.39636708034777,-2.54876970078161,    0.07425072,
"           rse",              ,      0.098726,      0.122615,    0.06830138,     0.1714956,    0.06388673,      3.525166,      2.029705,     0.8721936,      2.614044,     0.4178903,      1.229635,      1.864724,     0.2404043,
"standard error CI",
"          0.5%",              ,      0.310775,      1.010538,-0.486719743316656,-0.520045435626597,     0.3514092,-11.5105787572317,-5.53624106498178,-4.12896744184512,-5.4989196021264,-1.47306870678286,-8.56882658005985,-7.3597576852023,-0.545992486053399,
"          2.5%",              ,     0.3719851,      1.086559,-0.444372887834276,-0.413718134558708,      0.391019,-9.32497591780005,-4.27782396524209,-3.58820740722015,-3.87821241579053,-1.21397669343009,-7.80645259175695,-6.20362878972136,-0.396941794204621,
"            5%",              ,     0.4030838,      1.125183,-0.422857953194035,-0.359697005790346,     0.4111433,-8.21454866873397,-3.63846689037434,-3.3134664218865,-3.05478860337796,-1.08234123503312,-7.41911742028048,-5.61624072185604,-0.321214426571774,
"           95%",              ,     0.7278923,      1.528586,-0.19814641361818,     0.2045237,     0.6213306,      3.383247,      3.039263,-0.443949463957256,      5.545416,      0.292518,-3.37361674041507,     0.5187013,     0.4697159,
"         97.5%",              ,      0.758991,       1.56721,-0.176631478977939,     0.2585448,      0.641455,      4.493674,       3.67862,-0.169208478623605,      6.368839,     0.4241535,-2.98628156893859,      1.106089,     0.5454432,
"         99.5%",              ,     0.8202011,      1.643231,-0.134284623495559,     0.3648721,     0.6810647,      6.679277,      4.937037,     0.3715516,      7.989547,     0.6832455,-2.22390758063569,      2.262218,     0.6944939,
