"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.45297,FOCE_I,NA,245.73,309.02,-16204.729805095867,605.247,2016.45,23.7332,0.710947,19.7759,0.00078709,0.125178,0.237522,0.0608093,0.301522,0.0319624,0.0710599,0.010072,20.2592,50.3249,0.443159,0.0304489,0.471902,0.000535539,0.0336031,0.0256606,0.0179685,0.0177547,0.0124048,0.0250294,0.000330646,NA,NA,NA,NA,NA,0.479652,0.551602,0.654453,0.665298,0.818816,0.92999,0.942248,0.991535,1.01285,1.3064,1.47138,1.51956,1.65622
simulation,2,2,1,1,1,1,1,0,0,0,0,0,0,0,3.3,4.17138,FOCE_I,NA,269.63,312.52,-16331.368636097744,628.114,2000.02,23.3243,0.757374,19.2759,0.000348193,0.14849,0.315375,0.092402,0.296251,0.0324043,0.0137499,0.0103932,23.2718,45.3956,0.374898,0.0249144,0.457955,0.000496489,0.0343842,0.034031,0.0211512,0.0175713,0.00875686,0.0105184,0.000329581,NA,NA,NA,NA,NA,0.403258,0.57224,0.681362,0.798941,0.858228,0.865571,0.990386,0.997156,1.06334,1.15508,1.41561,1.51669,1.68214
simulation,3,3,1,1,1,0,1,0,0,1,0,0,0,0,1.3,90255.5,FOCE_I,NA,983.18,624.07,-16873.121297352514,674.465,1907.55,23.9376,0.747438,19.6816,0.00182254,0.145306,0.29011,0.0605556,0.299961,0.0367074,0.045004,0.00961083,0.197543,0.339836,0.00591232,0.000123393,0.00899771,0.000343215,0.0269069,0.00190136,0.00304639,0.0175219,0.00933815,0.0232286,2.7126e-06,NA,NA,NA,NA,NA,2.21602e-05,0.0112549,0.781575,0.985558,0.997362,0.997728,0.998551,0.999969,1.00056,1.00796,1.26762,1.95176,2.00008
simulation,4,4,1,1,1,1,1,0,0,0,0,0,0,0,3.3,3.87177,FOCE_I,NA,316.66,303.34,-16657.798536788287,667.847,1949.31,23.2316,0.778766,19.9425,0.00145687,0.171717,0.282892,0.0984008,0.329831,0.0343595,0.00844916,0.010278,23.3406,47.3299,0.433425,0.0239892,0.496782,0.000597192,0.0380455,0.0296802,0.0205035,0.0195606,0.0112274,0.0105128,0.000334602,NA,NA,NA,NA,NA,0.429384,0.579014,0.669084,0.737611,0.831818,0.852252,0.980128,0.99376,1.06144,1.27094,1.42913,1.50296,1.66248
simulation,5,5,1,1,1,0,1,0,0,1,0,0,0,0,2.3,4560.31,FOCE_I,NA,452,626.32,-16692.625798146742,630.47,1976.15,23.4867,0.752163,20.7195,0.00210764,0.0907694,0.309604,0.0644715,0.320396,0.0403402,0.059281,0.00989251,2.18346,44.1085,0.0426291,0.0134346,0.519259,0.000599674,0.0368689,0.00394799,0.0120278,0.018564,0.0151224,0.022238,1.3297e-08,NA,NA,NA,NA,NA,0.000529225,0.015464,0.29178,0.598453,0.677077,0.805459,0.9029,0.962238,1.09299,1.25773,1.72796,2.25398,2.41343
simulation,6,6,1,1,1,1,1,0,0,0,0,0,0,0,3.6,3.49812,FOCE_I,NA,265.12,306.07,-16480.470240673476,665.811,1924.52,23.1902,0.776084,19.6654,0.00192134,0.0969965,0.303883,0.0799953,0.322913,0.0353195,0.0263276,0.00973281,23.8592,46.0768,0.42674,0.0267982,0.47574,0.000597554,0.0285591,0.0307923,0.020943,0.0190223,0.0113943,0.0128009,0.000316304,NA,NA,NA,NA,NA,0.461762,0.635782,0.698367,0.739477,0.844029,0.856032,0.956478,1.00856,1.06966,1.18713,1.42231,1.50511,1.6153
simulation,7,7,1,1,1,1,1,0,0,0,0,0,0,0,3,2.98795,FOCE_I,NA,305.45,305.46,-16427.460830522035,624.151,1930.56,22.9382,0.768976,19.6047,0.00208694,0.109124,0.286399,0.0397281,0.279561,0.0181338,0.00267186,0.010262,21.8602,43.0845,0.418393,0.0229898,0.45845,0.000574562,0.0332794,0.0325939,0.0191727,0.0173517,0.00890252,0.00960947,0.000330242,NA,NA,NA,NA,NA,0.532687,0.612839,0.640632,0.720962,0.78164,0.858305,0.973685,1.01739,1.09209,1.2855,1.38524,1.50738,1.59164
simulation,8,8,1,1,1,0,1,0,0,1,0,0,0,0,1.5,45818.7,FOCE_I,NA,1434.19,607.56,-16544.833456726432,703.199,2059.8,23.1411,0.814505,19.384,0.00141414,0.109877,0.277405,0.0434048,0.301744,0.0303856,0.0363006,0.0098025,0.106078,0.263426,0.00180366,0.000105235,0.00150709,3.34338e-07,1.91996e-05,0.00186173,0.0124582,0.0467029,0.0107476,0.0161111,1.28302e-06,NA,NA,NA,NA,NA,6.36453e-05,0.121541,0.935105,0.999157,0.999218,0.999223,0.999308,0.999382,0.999809,1,1.00248,1.02857,2.91615
simulation,9,9,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.12365,FOCE_I,NA,248.2,322.07,-16200.142637896819,602.189,1934.19,22.9308,0.741578,18.6552,0.00124883,0.127167,0.337905,0.0429489,0.30993,0.0492182,0.0571556,0.0094245,22.8679,48.623,0.408064,0.0304897,0.468705,0.000640023,0.0395053,0.0333562,0.0214441,0.0186413,0.0127785,0.0181303,0.000306588,NA,NA,NA,NA,NA,0.525843,0.631017,0.645379,0.751671,0.800243,0.864386,0.970873,0.991721,1.04842,1.22136,1.411,1.49554,1.64255
simulation,10,10,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.30344,FOCE_I,NA,322.07,296.23,-16644.818067458011,635.16,2000.74,22.8756,0.7519,19.9476,0.00123991,0.0675704,0.270818,0.0802319,0.342286,0.032739,0.0220607,0.00975767,21.8445,47.0789,0.384732,0.0245336,0.499301,0.000578948,0.0298972,0.0277442,0.0191826,0.0202707,0.0107154,0.0112287,0.000313125,NA,NA,NA,NA,NA,0.468442,0.6101,0.684638,0.759488,0.86836,0.965737,0.997588,1.01903,1.06588,1.24279,1.35516,1.41532,1.54747
