SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2025-5-15,           200,strm_7_sm_10_covmodel_3.mod,        v5.3.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","        THETA3","        THETA4","        THETA5","        THETA6","        THETA7","    OMEGA(1,1)","    OMEGA(2,1)","    OMEGA(2,2)","    OMEGA(3,3)","    OMEGA(4,4)","    SIGMA(1,1)",
"",Sim. model result,           628,          1900,          22.9,          0.75,          19.2,        0.0014,        0.0968,     0.3074847,    0.06149694,     0.3074847,    0.03922071,    0.03922071,   0.009950331,

Simulation model
Samples completed: 200
"","           ofv","          TH_1","          TH_2","          TH_3","          TH_4","          TH_5","          TH_6","          TH_7","          OM_1","          OM_2","          OM_3","          OM_4","          OM_5","          SI_1",
"          mean",-16428.4568755169,      644.2223,       1959.11,      23.12982,     0.7569553,      19.66448,   0.001424008,    0.09752491,     0.2962546,    0.06869914,     0.3075482,    0.03659236,    0.03771172,    0.01008269,
"        median",-16425.4030031149,      647.2785,      1957.305,       23.1176,     0.7587935,      19.68225,    0.00138498,    0.09613645,      0.295748,    0.06895215,     0.3062005,    0.03519455,     0.0363471,    0.00998975,
"            sd",      193.7656,      28.21494,      50.35181,     0.4848714,    0.02938756,     0.4861767,  0.0005690919,    0.03360104,    0.03641604,    0.02204838,    0.01874124,    0.01133117,    0.01861321,  0.0005160349,
"           max",-15915.910111688901,       703.199,       2193.06,        25.577,      0.834193,        21.004,    0.00304539,      0.234641,      0.564335,      0.133319,      0.355788,     0.0753681,     0.0925299,     0.0128484,
"           min",-16994.378108553072,       500.835,       1823.71,       22.0501,      0.660187,       18.4811,  -0.000787329,     0.0085783,      0.223408,   -0.00801555,      0.263879,    0.00834529,   3.92207e-06,    0.00937288,
"      skewness",-0.132648717570437,-0.809664312346933,     0.5192646,     0.7075323,-0.254334651483514,    0.07476303,-0.146786441647504,     0.4415243,      2.047121,-0.0449244157233356,     0.1698654,     0.3714921,     0.4370431,      2.815596,
"      kurtosis",    0.05177664,      2.630307,      1.869207,      2.325091,     0.3781354,     0.2613129,      1.060413,      1.312024,      13.88345,      0.744505,-0.336756570154089,    0.03467976,     0.2523679,       10.6939,
"          rmse",              ,      32.48485,      77.56692,     0.5354821,    0.03012783,     0.6715097,  0.0005681749,    0.03352477,    0.03802121,    0.02314243,    0.01869443,    0.01160438,    0.01862784,  0.0005314875,
" relative_rmse",              ,      5.172747,      4.082469,       2.33835,      4.017043,      3.497446,      40.58392,      34.63302,      12.36524,      37.63184,      6.079792,      29.58737,      47.49491,      5.341405,
"          bias",              ,      16.22229,      59.11005,      0.229818,   0.006955255,     0.4644775,2.40083535000001e-05,   0.000724908,-0.0112300997479605,   0.007202205,6.35302520394993e-05,-0.0026283507032813,-0.0015089886989313,   0.000132357,
" relative_bias",              ,      2.583167,      3.111055,      1.003572,     0.9273673,      2.419154,      1.714882,     0.7488719,-3.65224668322216,      11.71148,    0.02066127,-6.7014352671489,-3.84742799814453,      1.330177,
"relative_absolute_bias",              ,      2.583167,      3.111055,      1.003572,     0.9273673,      2.419154,      1.714882,     0.7488719,-3.65224668322216,      11.71148,    0.02066127,-6.7014352671489,-3.84742799814453,      1.330177,
"           rse",              ,     0.3176907,       0.18739,     0.1497187,     0.2770685,     0.1790515,      2.874348,      2.454496,     0.8374409,      2.535176,     0.4309826,      2.042886,       3.35576,     0.3667132,
"standard error CI",
"          0.5%",              ,      1.763525,      2.627589,     0.6172978,     0.2125305,      1.957201,-5.70093612819927,-5.58372779926136,-5.81284423992709,      5.170729,-1.09127376719422,-11.9720809492091,-12.5052879222385,     0.3840572,
"          2.5%",              ,      1.960493,      2.743771,     0.7101234,      0.384313,      2.068213,-3.91884020453455,-4.06194027443406,-5.29363087358714,      6.742538,-0.824064571583093,-10.7054916767761,-10.4247169327276,     0.6114194,
"            5%",              ,      2.060566,      2.802799,     0.7572848,     0.4715896,      2.124614,-3.01342050138231,-3.28877403198148,-5.02983698584991,      7.541119,-0.688305060909698,-10.0619826109431,-9.36765263966959,     0.7269341,
"           95%",              ,      3.105768,      3.419312,      1.249859,      1.383145,      2.713693,      6.443185,      4.786518,-2.2746563805944,      15.88185,     0.7296276,-3.34088792335469,      1.672797,      1.933421,
"         97.5%",              ,      3.205841,       3.47834,      1.297021,      1.470422,      2.770095,      7.348605,      5.559684,-2.01086249285717,      16.68043,     0.8653871,-2.69737885752176,      2.729861,      2.048935,
"         99.5%",              ,      3.402809,      3.594522,      1.389846,      1.642204,      2.881106,      9.130701,      7.081472,-1.49164912651723,      18.25224,      1.132596,-1.43078958508868,      4.810432,      2.276297,
